player,injury,start,end,season,missed,ir_sequence
/players/breece-hall-hallbr05,Knee,2022-10-25,2023-02-24,2022,10,1
/players/breeland-speaks-speakbr01,Knee,2019-08-31,2020-02-24,2019,19,1
/players/brennan-williams-willibr17,Knee,2013-08-31,2014-02-24,2013,16,1
/players/brennan-williams-willibr17,Knee,2015-08-25,2015-08-29,2015,NULL,2
/players/brent-urban-urbanbr01,"Designated for Return",2015-09-08,2015-11-30,2015,10,2
/players/brent-urban-urbanbr01,Foot,2017-09-27,2018-02-24,2017,13,3
/players/brent-urban-urbanbr01,Knee,2014-08-25,2015-02-24,2014,NULL,1
/players/brent-urban-urbanbr01,Triceps,2021-10-26,2022-02-24,2021,12,4
/players/breshad-perriman-perribr02,Knee,2015-11-17,2016-02-24,2015,NULL,1
/players/brian-allen-allenbr05,Ankle,2019-08-28,2019-08-31,2019,NULL,1
/players/brian-allen-allenbr06,Knee,2019-11-12,2020-02-24,2019,7,1
/players/brian-cole-colebr01,,2023-06-09,2024-02-24,2023,NULL,1
/players/brian-hill-hillbr03,Undisclosed,2021-08-29,2021-09-02,2021,NULL,1
/players/brian-mihalik-mihalbr01,Knee,2016-08-16,2016-08-19,2016,NULL,1
/players/brian-oneill-oneilbr01,Calf,2023-01-03,2023-02-24,2022,2,1
/players/brian-schwenke-schwebr02,Ankle,2015-10-20,2016-02-24,2015,11,2
/players/brian-schwenke-schwebr02,Foot,2018-11-06,2019-02-24,2018,10,3
/players/brian-schwenke-schwebr02,Knee,2014-11-25,2015-02-24,2014,5,1
/players/brian-winters-wintebr01,Abdomen,2017-12-27,2018-02-24,2017,1,3
/players/brian-winters-wintebr01,Knee,2014-10-13,2015-02-24,2014,10,1
/players/brian-winters-wintebr01,Shoulder,2016-12-21,2017-02-24,2016,2,2
/players/brian-winters-wintebr01,Shoulder,2019-11-12,2020-02-24,2019,7,4
/players/brittain-brown-brownbr09,Undisclosed,2023-08-27,2024-02-24,2023,NULL,1
/players/bronson-kaufusi-kaufubr01,Ankle,2016-08-30,2017-02-24,2016,NULL,1
/players/bruce-ellington-ellinbr01,Hamstring,2016-08-30,2017-02-24,2016,16,1
/players/bruce-ellington-ellinbr01,Hamstring,2017-12-05,2018-02-24,2017,4,2
/players/bruce-ellington-ellinbr01,Hamstring,2018-09-25,2018-11-18,2018,5,3
/players/bruce-ellington-ellinbr01,Hamstring,2018-12-22,2019-02-24,2018,2,4
/players/bryan-cook-cookbr02,Ankle,2023-12-09,2024-02-24,2023,9,1
/players/bryan-stork-storkbr01,"Designated for Return",2015-09-09,2015-11-08,2015,7,1
/players/bryce-hager-hagerbr02,Shoulder,2019-11-12,2020-02-24,2019,7,1
/players/bryce-love-lovebr01,Knee,2020-10-02,2021-02-24,2020,NULL,1
/players/bryce-petty-pettybr01,Oblique,2018-09-02,2018-09-25,2018,3,2
/players/bryce-petty-pettybr01,Shoulder,2016-12-26,2017-02-24,2016,1,1
/players/bucky-hodges-hodgebu01,Concussion,2017-09-04,2017-09-12,2017,1,1
/players/bucky-hodges-hodgebu01,Undisclosed,2019-08-04,2019-10-01,2019,NULL,2
/players/budda-baker-bakerbu02,,2023-09-18,2023-10-22,2023,4,2
/players/budda-baker-bakerbu02,Shoulder,2022-12-28,2023-02-24,2022,2,1
/players/buddy-johnson-johnsbu02,Foot,2022-01-07,2022-02-24,2021,2,1
/players/buddy-johnson-johnsbu02,Undisclosed,2023-08-18,2023-10-03,2023,4,2
/players/byron-murphy-murphby01,Back,2022-12-24,2023-02-24,2022,3,1
/players/caden-sterns-sternca01,Hip,2022-10-28,2023-02-24,2022,10,1
/players/caden-sterns-sternca01,Knee,2023-09-13,2024-02-24,2023,16,2
/players/caleb-benenoch-benenca01,,2023-06-07,2023-06-14,2023,NULL,1
/players/caleb-benenoch-benenca01,,2023-07-06,2024-02-24,2023,NULL,2
/players/caleb-brantley-brantca01,Foot,2019-09-13,2020-02-24,2019,15,1
/players/caleb-farley-farleca01,Back,2022-11-15,2023-02-24,2022,8,2
/players/caleb-farley-farleca01,Knee,2021-10-19,2022-02-24,2021,9,1
/players/caleb-sturgis-sturgca01,Hip,2017-09-12,2018-02-24,2017,18,1
/players/calvin-austin-austica01,Lisfranc,2022-09-01,2023-02-24,2022,NULL,1
/players/calvin-pryor-pryorca01,Ankle,2017-09-18,2017-11-19,2017,7,1
/players/calvin-ridley-ridleca01,Abdomen,2019-12-10,2020-02-24,2019,3,1
/players/cam-akers-akersca01,Achilles,2023-11-08,2024-02-24,2023,8,1
/players/cam-brown-brownca05,Hamstring,2021-09-25,2021-10-17,2021,3,1
/players/cam-robinson-robinca04,Knee,2018-09-17,2019-02-24,2018,14,1
/players/cam-robinson-robinca04,Knee,2022-12-26,2023-02-24,2022,4,2
/players/cam-robinson-robinca04,Knee,2023-11-27,2023-12-31,2023,4,3
/players/cam-taylorbritt-tayloca04,Ankle,2023-12-04,2023-12-31,2023,4,2
/players/cam-taylorbritt-tayloca04,"Core Muscle",2022-09-01,2022-10-23,2022,4,1
/players/cameron-artispayne-artisca01,,2021-08-13,2021-10-01,2021,NULL,1
/players/cameron-artispayne-artisca01,,2021-10-21,2021-11-05,2021,NULL,2
/players/cameron-artispayne-artisca01,,2021-11-12,2021-11-27,2021,NULL,3
/players/cameron-clark-clarkca02,Shoulder,2020-09-07,2020-10-24,2020,6,1
/players/cameron-clark-clarkca02,Spine,2021-08-17,2022-02-24,2021,NULL,2
