year,round,pick,team,player,page,position,season,transdate,transaction,trans_year,trans_month,tran_month,season_num
2013,1,26,Green Bay Packers,Datone Jones,/players/datone-jones-jonesda17,DE,2018,,,,,9.0,6
2013,1,26,Green Bay Packers,Datone Jones,/players/datone-jones-jonesda17,DE,2019,,,,,9.0,7
2013,1,26,Green Bay Packers,Datone Jones,/players/datone-jones-jonesda17,DE,2020,,,,,9.0,8
2013,1,27,Houston Texans,DeAndre Hopkins,/players/deandre-hopkins-hopkide01,WR,2013,,,,,9.0,1
2013,1,27,Houston Texans,DeAndre Hopkins,/players/deandre-hopkins-hopkide01,WR,2014,,,,,9.0,2
2013,1,27,Houston Texans,DeAndre Hopkins,/players/deandre-hopkins-hopkide01,WR,2015,,,,,9.0,3
2013,1,27,Houston Texans,DeAndre Hopkins,/players/deandre-hopkins-hopkide01,WR,2016,,,,,9.0,4
2013,1,27,Houston Texans,DeAndre Hopkins,/players/deandre-hopkins-hopkide01,WR,2017,,,,,9.0,5
2013,1,27,Houston Texans,DeAndre Hopkins,/players/deandre-hopkins-hopkide01,WR,2018,,,,,9.0,6
2013,1,27,Houston Texans,DeAndre Hopkins,/players/deandre-hopkins-hopkide01,WR,2019,,,,,9.0,7
2013,1,27,Houston Texans,DeAndre Hopkins,/players/deandre-hopkins-hopkide01,WR,2020,,,,,9.0,8
2013,1,27,Houston Texans,DeAndre Hopkins,/players/deandre-hopkins-hopkide01,WR,2021,,,,,9.0,9
2013,1,27,Houston Texans,DeAndre Hopkins,/players/deandre-hopkins-hopkide01,WR,2022,,,,,9.0,10
2013,1,27,Houston Texans,DeAndre Hopkins,/players/deandre-hopkins-hopkide01,WR,2023,,,,,9.0,11
2013,1,28,Denver Broncos,Sylvester Williams,/players/sylvester-williams-willisy01,DT,2013,,,,,9.0,1
2013,1,28,Denver Broncos,Sylvester Williams,/players/sylvester-williams-willisy01,DT,2014,,,,,9.0,2
2013,1,28,Denver Broncos,Sylvester Williams,/players/sylvester-williams-willisy01,DT,2015,,,,,9.0,3
2013,1,28,Denver Broncos,Sylvester Williams,/players/sylvester-williams-willisy01,DT,2016,,,,,9.0,4
2013,1,28,Denver Broncos,Sylvester Williams,/players/sylvester-williams-willisy01,DT,2017,,,,,9.0,5
2013,1,28,Denver Broncos,Sylvester Williams,/players/sylvester-williams-willisy01,DT,2018,,,,,9.0,6
2013,1,28,Denver Broncos,Sylvester Williams,/players/sylvester-williams-willisy01,DT,2019,,,,,9.0,7
2013,1,28,Denver Broncos,Sylvester Williams,/players/sylvester-williams-willisy01,DT,2020,,,,,9.0,8
2013,1,29,Minnesota Vikings,Cordarrelle Patterson,/players/cordarrelle-patterson-patteco01,RB,2013,,,,,9.0,1
2013,1,29,Minnesota Vikings,Cordarrelle Patterson,/players/cordarrelle-patterson-patteco01,RB,2014,,,,,9.0,2
2013,1,29,Minnesota Vikings,Cordarrelle Patterson,/players/cordarrelle-patterson-patteco01,RB,2015,,,,,9.0,3
2013,1,29,Minnesota Vikings,Cordarrelle Patterson,/players/cordarrelle-patterson-patteco01,RB,2016,,,,,9.0,4
2013,1,29,Minnesota Vikings,Cordarrelle Patterson,/players/cordarrelle-patterson-patteco01,RB,2017,,,,,9.0,5
2013,1,29,Minnesota Vikings,Cordarrelle Patterson,/players/cordarrelle-patterson-patteco01,RB,2018,,,,,9.0,6
2013,1,29,Minnesota Vikings,Cordarrelle Patterson,/players/cordarrelle-patterson-patteco01,RB,2019,,,,,9.0,7
2013,1,29,Minnesota Vikings,Cordarrelle Patterson,/players/cordarrelle-patterson-patteco01,RB,2020,,,,,9.0,8
2013,1,29,Minnesota Vikings,Cordarrelle Patterson,/players/cordarrelle-patterson-patteco01,RB,2021,,,,,9.0,9
2013,1,29,Minnesota Vikings,Cordarrelle Patterson,/players/cordarrelle-patterson-patteco01,RB,2022,,,,,9.0,10
2013,1,29,Minnesota Vikings,Cordarrelle Patterson,/players/cordarrelle-patterson-patteco01,RB,2023,,,,,9.0,11
2013,1,30,St. Louis Rams,Alec Ogletree,/players/alec-ogletree-ogletal01,LB,2013,,,,,9.0,1
2013,1,30,St. Louis Rams,Alec Ogletree,/players/alec-ogletree-ogletal01,LB,2014,,,,,9.0,2
2013,1,30,St. Louis Rams,Alec Ogletree,/players/alec-ogletree-ogletal01,LB,2015,,,,,9.0,3
2013,1,30,St. Louis Rams,Alec Ogletree,/players/alec-ogletree-ogletal01,LB,2016,,,,,9.0,4
2013,1,30,St. Louis Rams,Alec Ogletree,/players/alec-ogletree-ogletal01,LB,2017,,,,,9.0,5
2013,1,30,St. Louis Rams,Alec Ogletree,/players/alec-ogletree-ogletal01,LB,2018,,,,,9.0,6
2013,1,30,St. Louis Rams,Alec Ogletree,/players/alec-ogletree-ogletal01,LB,2019,,,,,9.0,7
2013,1,30,St. Louis Rams,Alec Ogletree,/players/alec-ogletree-ogletal01,LB,2020,,,,,9.0,8
2013,1,30,St. Louis Rams,Alec Ogletree,/players/alec-ogletree-ogletal01,LB,2021,,,,,9.0,9
2013,1,31,Dallas Cowboys,Travis Frederick,/players/travis-frederick-fredetr01,C,2013,,,,,9.0,1
2013,1,31,Dallas Cowboys,Travis Frederick,/players/travis-frederick-fredetr01,C,2014,,,,,9.0,2
2013,1,31,Dallas Cowboys,Travis Frederick,/players/travis-frederick-fredetr01,C,2015,,,,,9.0,3
2013,1,31,Dallas Cowboys,Travis Frederick,/players/travis-frederick-fredetr01,C,2016,,,,,9.0,4
