player,1,2,3,4,5,6,7,8,9
Braden Mann,Healthy,Knee,,,,,,,
Braden Smith,Healthy,Healthy,Healthy,Healthy,,,,,
Braden Wilson,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Bradlee Anae,Healthy,Healthy,,,,,,,
Bradley Bozeman,Healthy,Healthy,Healthy,Healthy,,,,,
Bradley Chubb,Healthy,Knee,Healthy,Ankle,,,,,
Bradley Pinion,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Bradley Roby,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Brady Breeze,Ankle,,,,,,,,
Brady Christensen,Healthy,,,,,,,,
Brandin Cooks,Thumb,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Brandin Echols,Quadriceps,,,,,,,,
Brandon Aiyuk,Healthy,Healthy,,,,,,,
Brandon Allen,Healthy,Back,Healthy,Healthy,Healthy,Healthy,,,
Brandon Dixon,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Brandon Doughty,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Brandon Hepburn,,Healthy,Abdomen,Healthy,Healthy,Healthy,Healthy,Healthy,
Brandon Jenkins,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Brandon Jones,Healthy,Healthy,,,,,,,
Brandon Linder,Healthy,Shoulder,Healthy,Healthy,Knee,Healthy,Ankle,Knee,
Brandon McGee,,Foot,Healthy,Undisclosed,Healthy,Healthy,Healthy,Healthy,
Brandon Parker,Healthy,Healthy,Healthy,Healthy,,,,,
Brandon Scherff,Healthy,Healthy,Healthy,Pectoral,Elbow,Knee,Healthy,,
Brandon Shell,Healthy,Healthy,Knee,Healthy,Healthy,Healthy,,,
Brandon Stephens,Healthy,,,,,,,,
Brandon Thomas,Healthy,Healthy,Healthy,Healthy,Knee,Knee,Healthy,Healthy,
Brandon Watts,Healthy,Healthy,Healthy,Back,Healthy,Healthy,Healthy,Healthy,
Brandon Williams,Healthy,Healthy,Healthy,Shoulder,Groin,Healthy,Healthy,Healthy,
Brandon Wilson,Healthy,Healthy,Hand,Healthy,Knee,,,,
Bravvion Roy,Healthy,Healthy,,,,,,,
Braxton Berrios,Undisclosed,Healthy,Healthy,Healthy,,,,,
Braxton Miller,Shoulder,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Breeland Speaks,Healthy,Knee,Healthy,Healthy,,,,,
Brendan Langley,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Brenden Jaimes,Healthy,,,,,,,,
Brennan Williams,,Healthy,Knee,Healthy,Healthy,Healthy,Healthy,Healthy,
Brent Urban,Knee,Designated for Return,Healthy,Foot,Healthy,Healthy,Healthy,Triceps,
Breshad Perriman,Knee,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Brett Hundley,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Brevin Jordan,Healthy,,,,,,,,
Brian Allen,Healthy,Knee,Ankle,Healthy,Healthy,,,,
Brian Burns,Healthy,Healthy,Healthy,,,,,,
Brian Cole,Healthy,Healthy,,,,,,,
Brian Hill,Healthy,Healthy,Healthy,Healthy,Undisclosed,,,,
