index,year,round,pick,team_x,player,page,position,season,transdate,team_y,transaction,trans_year,trans_month,end_year,tran_month,season_num
1478,2018,6,207,Green Bay Packers,Equanimeous St. Brown,/players/equanimeous-st-brown-stbroeq01,WR,2021,,,,,,,9.0,4
1479,2018,6,208,Dallas Cowboys,Cedrick Wilson,/players/cedrick-wilson-wilsoce02,WR,2018,2018-08-01,Dallas (NFL),Placed on Injured Reserve (Shoulder),2018.0,8.0,,8.0,1
1479,2018,6,208,Dallas Cowboys,Cedrick Wilson,/players/cedrick-wilson-wilsoce02,WR,2019,2019-12-10,Dallas (NFL),Placed on Injured Reserve (Knee),2019.0,12.0,,12.0,2
1479,2018,6,208,Dallas Cowboys,Cedrick Wilson,/players/cedrick-wilson-wilsoce02,WR,2020,,,,,,,9.0,3
1479,2018,6,208,Dallas Cowboys,Cedrick Wilson,/players/cedrick-wilson-wilsoce02,WR,2021,,,,,,,9.0,4
1481,2018,6,210,New England Patriots,Braxton Berrios,/players/braxton-berrios-berribr01,WR,2018,2018-09-01,New England (NFL),Placed on Injured Reserve (Undisclosed),2018.0,9.0,,9.0,1
1481,2018,6,210,New England Patriots,Braxton Berrios,/players/braxton-berrios-berribr01,WR,2019,,,,,,,9.0,2
1481,2018,6,210,New England Patriots,Braxton Berrios,/players/braxton-berrios-berribr01,WR,2020,,,,,,,9.0,3
1481,2018,6,210,New England Patriots,Braxton Berrios,/players/braxton-berrios-berribr01,WR,2021,,,,,,,9.0,4
1482,2018,6,211,Houston Texans,Jordan Thomas,/players/jordan-thomas-thomajo18,TE,2018,,,,,,2022.0,9.0,1
1482,2018,6,211,Houston Texans,Jordan Thomas,/players/jordan-thomas-thomajo18,TE,2019,2019-09-02,Houston (NFL),Placed on Injured Reserve (Ribs),2019.0,9.0,2022.0,9.0,2
1482,2018,6,211,Houston Texans,Jordan Thomas,/players/jordan-thomas-thomajo18,TE,2020,,,,,,2022.0,9.0,3
1482,2018,6,211,Houston Texans,Jordan Thomas,/players/jordan-thomas-thomajo18,TE,2021,2021-09-01,Indianapolis (NFL),Placed on Injured Reserve (Undisclosed),2021.0,9.0,2022.0,9.0,4
1490,2018,7,219,New England Patriots,Danny Etling,/players/danny-etling-etlinda01,QB,2018,,,,,,,9.0,1
1490,2018,7,219,New England Patriots,Danny Etling,/players/danny-etling-etlinda01,QB,2019,,,,,,,9.0,2
1490,2018,7,219,New England Patriots,Danny Etling,/players/danny-etling-etlinda01,QB,2020,,,,,,,9.0,3
1490,2018,7,219,New England Patriots,Danny Etling,/players/danny-etling-etlinda01,QB,2021,,,,,,,9.0,4
1491,2018,7,220,Seattle Seahawks,Alex McGough,/players/alex-mcgough-mcgoual01,QB,2018,,,,,,,9.0,1
1491,2018,7,220,Seattle Seahawks,Alex McGough,/players/alex-mcgough-mcgoual01,QB,2019,,,,,,,9.0,2
1491,2018,7,220,Seattle Seahawks,Alex McGough,/players/alex-mcgough-mcgoual01,QB,2020,,,,,,,9.0,3
1491,2018,7,220,Seattle Seahawks,Alex McGough,/players/alex-mcgough-mcgoual01,QB,2021,,,,,,,9.0,4
1495,2018,7,224,Chicago Bears,Javon Wims,/players/javon-wims-wimsja01,WR,2018,,,,,,,9.0,1
1495,2018,7,224,Chicago Bears,Javon Wims,/players/javon-wims-wimsja01,WR,2019,,,,,,,9.0,2
1495,2018,7,224,Chicago Bears,Javon Wims,/players/javon-wims-wimsja01,WR,2020,,,,,,,9.0,3
1495,2018,7,224,Chicago Bears,Javon Wims,/players/javon-wims-wimsja01,WR,2021,,,,,,,9.0,4
1497,2018,7,226,Denver Broncos,David Williams,/players/david-williams-willida27,RB,2018,,,,,,2019.0,9.0,1
1497,2018,7,226,Denver Broncos,David Williams,/players/david-williams-willida27,RB,2019,,,,,,2019.0,9.0,2
1499,2018,7,228,Oakland Raiders,Marcell Ateman,/players/marcell-ateman-atemama01,WR,2018,,,,,,2021.0,9.0,1
1499,2018,7,228,Oakland Raiders,Marcell Ateman,/players/marcell-ateman-atemama01,WR,2019,,,,,,2021.0,9.0,2
