index,year,round,pick,team_x,player,page,position,season,transdate,team_y,transaction,trans_year,trans_month,tran_month,season_num
20,2013,1,21,Cincinnati Bengals,Tyler Eifert,/players/tyler-eifert-eiferty01,TE,2020,,,,,,9.0,8
20,2013,1,21,Cincinnati Bengals,Tyler Eifert,/players/tyler-eifert-eiferty01,TE,2021,,,,,,9.0,9
21,2013,1,22,Atlanta Falcons,Desmond Trufant,/players/desmond-trufant-trufade01,DB,2014,,,,,,9.0,2
21,2013,1,22,Atlanta Falcons,Desmond Trufant,/players/desmond-trufant-trufade01,DB,2015,,,,,,9.0,3
21,2013,1,22,Atlanta Falcons,Desmond Trufant,/players/desmond-trufant-trufade01,DB,2016,2016-11-29,Atlanta (NFL),Placed on Injured Reserve (Shoulder),2016.0,11.0,11.0,4
21,2013,1,22,Atlanta Falcons,Desmond Trufant,/players/desmond-trufant-trufade01,DB,2017,,,,,,9.0,5
21,2013,1,22,Atlanta Falcons,Desmond Trufant,/players/desmond-trufant-trufade01,DB,2018,,,,,,9.0,6
21,2013,1,22,Atlanta Falcons,Desmond Trufant,/players/desmond-trufant-trufade01,DB,2019,2019-12-10,Atlanta (NFL),Placed on Injured Reserve (Forearm),2019.0,12.0,12.0,7
21,2013,1,22,Atlanta Falcons,Desmond Trufant,/players/desmond-trufant-trufade01,DB,2020,2020-12-02,Detroit (NFL),Placed on Injured Reserve (Hamstring),2020.0,12.0,12.0,8
21,2013,1,22,Atlanta Falcons,Desmond Trufant,/players/desmond-trufant-trufade01,DB,2021,,,,,,9.0,9
22,2013,1,23,Minnesota Vikings,Sharrif Floyd,/players/sharrif-floyd-floydsh01,DT,2014,,,,,,9.0,2
22,2013,1,23,Minnesota Vikings,Sharrif Floyd,/players/sharrif-floyd-floydsh01,DT,2015,,,,,,9.0,3
22,2013,1,23,Minnesota Vikings,Sharrif Floyd,/players/sharrif-floyd-floydsh01,DT,2016,2016-12-12,Minnesota (NFL),Placed on Injured Reserve (Knee),2016.0,12.0,12.0,4
22,2013,1,23,Minnesota Vikings,Sharrif Floyd,/players/sharrif-floyd-floydsh01,DT,2017,,,,,,9.0,5
22,2013,1,23,Minnesota Vikings,Sharrif Floyd,/players/sharrif-floyd-floydsh01,DT,2018,,,,,,9.0,6
22,2013,1,23,Minnesota Vikings,Sharrif Floyd,/players/sharrif-floyd-floydsh01,DT,2019,,,,,,9.0,7
22,2013,1,23,Minnesota Vikings,Sharrif Floyd,/players/sharrif-floyd-floydsh01,DT,2020,,,,,,9.0,8
22,2013,1,23,Minnesota Vikings,Sharrif Floyd,/players/sharrif-floyd-floydsh01,DT,2021,,,,,,9.0,9
23,2013,1,24,Indianapolis Colts,Bjoern Werner,/players/bjoern-werner-wernebj01,DE,2014,,,,,,9.0,2
23,2013,1,24,Indianapolis Colts,Bjoern Werner,/players/bjoern-werner-wernebj01,DE,2015,,,,,,9.0,3
23,2013,1,24,Indianapolis Colts,Bjoern Werner,/players/bjoern-werner-wernebj01,DE,2016,,,,,,9.0,4
23,2013,1,24,Indianapolis Colts,Bjoern Werner,/players/bjoern-werner-wernebj01,DE,2017,,,,,,9.0,5
23,2013,1,24,Indianapolis Colts,Bjoern Werner,/players/bjoern-werner-wernebj01,DE,2018,,,,,,9.0,6
23,2013,1,24,Indianapolis Colts,Bjoern Werner,/players/bjoern-werner-wernebj01,DE,2019,,,,,,9.0,7
23,2013,1,24,Indianapolis Colts,Bjoern Werner,/players/bjoern-werner-wernebj01,DE,2020,,,,,,9.0,8
23,2013,1,24,Indianapolis Colts,Bjoern Werner,/players/bjoern-werner-wernebj01,DE,2021,,,,,,9.0,9
24,2013,1,25,Minnesota Vikings,Xavier Rhodes,/players/xavier-rhodes-rhodexa01,DB,2014,,,,,,9.0,2
24,2013,1,25,Minnesota Vikings,Xavier Rhodes,/players/xavier-rhodes-rhodexa01,DB,2015,,,,,,9.0,3
24,2013,1,25,Minnesota Vikings,Xavier Rhodes,/players/xavier-rhodes-rhodexa01,DB,2016,,,,,,9.0,4
24,2013,1,25,Minnesota Vikings,Xavier Rhodes,/players/xavier-rhodes-rhodexa01,DB,2017,,,,,,9.0,5
24,2013,1,25,Minnesota Vikings,Xavier Rhodes,/players/xavier-rhodes-rhodexa01,DB,2018,,,,,,9.0,6
24,2013,1,25,Minnesota Vikings,Xavier Rhodes,/players/xavier-rhodes-rhodexa01,DB,2019,,,,,,9.0,7
24,2013,1,25,Minnesota Vikings,Xavier Rhodes,/players/xavier-rhodes-rhodexa01,DB,2020,,,,,,9.0,8
24,2013,1,25,Minnesota Vikings,Xavier Rhodes,/players/xavier-rhodes-rhodexa01,DB,2021,,,,,,9.0,9
